"date","weight_kg","fat_percent","neck_cm","shoulder_cm","chest_cm","left_bicep_cm","right_bicep_cm","left_forearm_cm","right_forearm_cm","abdomen_cm","waist_cm","hips_cm","left_thigh_cm","right_thigh_cm","left_calf_cm","right_calf_cm"
"26 Nov 2021, 00:00",103,,,,120,,,,,,112,130,,,,
"5 Feb 2022, 00:00",,,,,117,,,,,,112,126,,,,
"17 Feb 2022, 00:00",,,,,120,,,,,,107,121,,,,
"5 Mar 2023, 00:00",99.85,,40,,121,34,37,27,28,,110,122,68,68,41,42
"10 Dec 2024, 00:00",97.1,41,36,,115,35,36,27,27,,107,115,69,66,44,44
"12 Jan 2025, 00:00",96.6,41,37,,116,33,33,25,26,,106,116,65,66,42,43
"13 Feb 2025, 00:00",92.4,,39,,116,32,34,26,27,,104,114,68,69,41,41
"13 Apr 2025, 00:00",84,,38,,109,31,32,25,26,,100,111,66,63,41,40
"5 May 2025, 00:00",82.3,,,,,,,,,,,,,,,
"20 May 2025, 00:00",80.5,,,,105,,,,,,95,105,63,60,41,40
"18 Jun 2025, 00:00",78.4,,,,,,,,,,96,,,,,
"28 Aug 2025, 00:00",74.4,,,,,,,,,,,,,,,
"29 Oct 2025, 00:00",73.2,,,,,,,,,,,,,,,
