"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Push B","28 Jan 2026, 17:26","28 Jan 2026, 17:57","","Cable Fly Crossovers",,"",0,"normal",41,12,,,
"Push B","28 Jan 2026, 17:26","28 Jan 2026, 17:57","","Cable Fly Crossovers",,"",1,"failure",50,6,,,
"Push B","28 Jan 2026, 17:26","28 Jan 2026, 17:57","","Cable Fly Crossovers",,"",2,"failure",41,9,,,
"Push B","28 Jan 2026, 17:26","28 Jan 2026, 17:57","","Cable Fly Crossovers",,"",3,"dropset",32,8,,,
"Push B","28 Jan 2026, 17:26","28 Jan 2026, 17:57","","Triceps Extension (Machine)",,"",0,"warmup",43,16,,,
"Push B","28 Jan 2026, 17:26","28 Jan 2026, 17:57","","Triceps Extension (Machine)",,"",1,"failure",50,12,,,
"Push B","28 Jan 2026, 17:26","28 Jan 2026, 17:57","","Triceps Extension (Machine)",,"",2,"failure",57,7,,,
"Push B","28 Jan 2026, 17:26","28 Jan 2026, 17:57","","Triceps Extension (Machine)",,"",3,"normal",50,7,,,
"Push B","28 Jan 2026, 17:26","28 Jan 2026, 17:57","","Shoulder Press (Machine Plates)",,"",0,"normal",30,13,,,
"Push B","28 Jan 2026, 17:26","28 Jan 2026, 17:57","","Shoulder Press (Machine Plates)",,"",1,"normal",35,14,,,
"Push B","28 Jan 2026, 17:26","28 Jan 2026, 17:57","","Shoulder Press (Machine Plates)",,"",2,"failure",35,8,,,
"Push B","28 Jan 2026, 17:26","28 Jan 2026, 17:57","","Shoulder Press (Machine Plates)",,"",3,"failure",30,13,,,
"Push B","28 Jan 2026, 17:26","28 Jan 2026, 17:57","","Seated Dip Machine",,"",0,"normal",55,13,,,
"Push B","28 Jan 2026, 17:26","28 Jan 2026, 17:57","","Seated Dip Machine",,"",1,"failure",62,6,,,
"Pull A","21 Jan 2026, 17:24","21 Jan 2026, 17:52","","Bicep Curl (Dumbbell)",,"",0,"warmup",15,15,,,
"Pull A","21 Jan 2026, 17:24","21 Jan 2026, 17:52","","Bicep Curl (Dumbbell)",,"",1,"failure",20,9,,,
"Pull A","21 Jan 2026, 17:24","21 Jan 2026, 17:52","","Bicep Curl (Dumbbell)",,"",2,"failure",20,6,,,
"Pull A","21 Jan 2026, 17:24","21 Jan 2026, 17:52","","Bicep Curl (Dumbbell)",,"",3,"dropset",10,10,,,
"Pull A","21 Jan 2026, 17:24","21 Jan 2026, 17:52","","Low Row",,"",0,"normal",25,12,,,
"Pull A","21 Jan 2026, 17:24","21 Jan 2026, 17:52","","Low Row",,"",1,"failure",35,4,,,
"Pull A","21 Jan 2026, 17:24","21 Jan 2026, 17:52","","Low Row",,"",2,"failure",35,4,,,
"Pull A","21 Jan 2026, 17:24","21 Jan 2026, 17:52","","Low Row",,"",3,"failure",25,9,,,
"Pull A","21 Jan 2026, 17:24","21 Jan 2026, 17:52","","Preacher Curl (Machine)",,"",0,"failure",17,8,,,
"Pull A","21 Jan 2026, 17:24","21 Jan 2026, 17:52","","Preacher Curl (Machine)",,"",1,"failure",12,15,,,
"Pull A","21 Jan 2026, 17:24","21 Jan 2026, 17:52","","Preacher Curl (Machine)",,"",2,"failure",12,9,,,
"Pull A","21 Jan 2026, 17:24","21 Jan 2026, 17:52","","Preacher Curl (Machine)",,"",3,"dropset",6,16,,,
"Pull A","21 Jan 2026, 17:24","21 Jan 2026, 17:52","","Straight Arm Lat Pulldown (Cable)",,"",0,"failure",35,13,,,
"Pull A","21 Jan 2026, 17:24","21 Jan 2026, 17:52","","Straight Arm Lat Pulldown (Cable)",,"",1,"failure",35,10,,,
"Pull A","21 Jan 2026, 17:24","21 Jan 2026, 17:52","","Straight Arm Lat Pulldown (Cable)",,"",2,"failure",30,10,,,
"Pull A","21 Jan 2026, 17:24","21 Jan 2026, 17:52","","Straight Arm Lat Pulldown (Cable)",,"",3,"dropset",20,13,,,
"Pull A","21 Jan 2026, 17:24","21 Jan 2026, 17:52","","Hammer Curl (Dumbbell)",,"",0,"normal",20,10,,,
"Pull A","21 Jan 2026, 17:24","21 Jan 2026, 17:52","","Hammer Curl (Dumbbell)",,"",1,"failure",15,9,,,
"Pull A","21 Jan 2026, 17:24","21 Jan 2026, 17:52","","Hammer Curl (Dumbbell)",,"",2,"dropset",10,10,,,
"Push B","17 Jan 2026, 10:13","17 Jan 2026, 10:58","","Shoulder Press (Machine Plates)",,"",0,"warmup",20,16,,,
"Push B","17 Jan 2026, 10:13","17 Jan 2026, 10:58","","Shoulder Press (Machine Plates)",,"",1,"normal",30,13,,,
"Push B","17 Jan 2026, 10:13","17 Jan 2026, 10:58","","Shoulder Press (Machine Plates)",,"",2,"failure",40,8,,,
"Push B","17 Jan 2026, 10:13","17 Jan 2026, 10:58","","Shoulder Press (Machine Plates)",,"",3,"failure",50,4,,,
"Push B","17 Jan 2026, 10:13","17 Jan 2026, 10:58","","Shoulder Press (Machine Plates)",,"",4,"dropset",20,11,,,
"Push B","17 Jan 2026, 10:13","17 Jan 2026, 10:58","","Incline Bench Press (Smith Machine)",,"",0,"warmup",17,15,,,
"Push B","17 Jan 2026, 10:13","17 Jan 2026, 10:58","","Incline Bench Press (Smith Machine)",,"",1,"normal",32,14,,,
"Push B","17 Jan 2026, 10:13","17 Jan 2026, 10:58","","Incline Bench Press (Smith Machine)",,"",2,"normal",37,5,,,
"Push B","17 Jan 2026, 10:13","17 Jan 2026, 10:58","","Incline Bench Press (Smith Machine)",,"",3,"normal",32,8,,,
"Push B","17 Jan 2026, 10:13","17 Jan 2026, 10:58","","Overhead Triceps Extension (Cable)",,"",0,"normal",30,5,,,
"Push B","17 Jan 2026, 10:13","17 Jan 2026, 10:58","","Overhead Triceps Extension (Cable)",,"",1,"failure",25,7,,,
"Push B","17 Jan 2026, 10:13","17 Jan 2026, 10:58","","Overhead Triceps Extension (Cable)",,"",2,"failure",20,10,,,
"Push B","17 Jan 2026, 10:13","17 Jan 2026, 10:58","","Overhead Triceps Extension (Cable)",,"",3,"failure",15,11,,,
"Push B","17 Jan 2026, 10:13","17 Jan 2026, 10:58","","Hoist Chest Press",,"",0,"failure",45,13,,,
"Push B","17 Jan 2026, 10:13","17 Jan 2026, 10:58","","Hoist Chest Press",,"",1,"failure",52,8,,,
"Push B","17 Jan 2026, 10:13","17 Jan 2026, 10:58","","Hoist Chest Press",,"",2,"failure",52,6,,,
"Push B","17 Jan 2026, 10:13","17 Jan 2026, 10:58","","Hoist Chest Press",,"",3,"dropset",34,7,,,
"Push B","17 Jan 2026, 10:13","17 Jan 2026, 10:58","","Triceps Extension (Machine)",,"",0,"normal",36,15,,,
"Push B","17 Jan 2026, 10:13","17 Jan 2026, 10:58","","Triceps Extension (Machine)",,"",1,"failure",43,10,,,
"Push B","17 Jan 2026, 10:13","17 Jan 2026, 10:58","","Triceps Extension (Machine)",,"",2,"failure",50,5,,,
"Push B","17 Jan 2026, 10:13","17 Jan 2026, 10:58","","Triceps Extension (Machine)",,"",3,"dropset",30,6,,,
"Legs","15 Jan 2026, 16:54","15 Jan 2026, 17:36","","Squat (Barbell)",,"",0,"warmup",20,12,,,
"Legs","15 Jan 2026, 16:54","15 Jan 2026, 17:36","","Squat (Barbell)",,"",1,"normal",40,8,,,
"Legs","15 Jan 2026, 16:54","15 Jan 2026, 17:36","","Squat (Barbell)",,"",2,"normal",60,3,,,
"Legs","15 Jan 2026, 16:54","15 Jan 2026, 17:36","","Squat (Barbell)",,"",3,"normal",50,5,,,
"Legs","15 Jan 2026, 16:54","15 Jan 2026, 17:36","","Squat (Barbell)",,"",4,"normal",40,8,,,
"Legs","15 Jan 2026, 16:54","15 Jan 2026, 17:36","","Lying Leg Curl (Machine)",,"",0,"normal",30,14,,,
"Legs","15 Jan 2026, 16:54","15 Jan 2026, 17:36","","Lying Leg Curl (Machine)",,"",1,"failure",40,4,,,
"Legs","15 Jan 2026, 16:54","15 Jan 2026, 17:36","","Lying Leg Curl (Machine)",,"",2,"failure",35,7,,,
"Legs","15 Jan 2026, 16:54","15 Jan 2026, 17:36","","Lying Leg Curl (Machine)",,"",3,"failure",30,9,,,
"Legs","15 Jan 2026, 16:54","15 Jan 2026, 17:36","","Standing Calf Raise (Machine)",,"",0,"normal",70,15,,,
"Legs","15 Jan 2026, 16:54","15 Jan 2026, 17:36","","Standing Calf Raise (Machine)",,"",1,"normal",100,12,,,
"Legs","15 Jan 2026, 16:54","15 Jan 2026, 17:36","","Standing Calf Raise (Machine)",,"",2,"normal",100,13,,,
"Legs","15 Jan 2026, 16:54","15 Jan 2026, 17:36","","Standing Calf Raise (Machine)",,"",3,"dropset",60,13,,,
"Legs","15 Jan 2026, 16:54","15 Jan 2026, 17:36","","Leg Extension (Machine)",,"",0,"normal",34,14,,,
